"","name","mz","rt","Annotation.type","ID","compound.name","isotope","adduct","score","confidence"
"153","M286T570",286.08273,569.849,"adductAnnotation","C01817","L-Homocystine","[M]","M+NH4",0.564035366667061,"grade2"
"154","M285T403",285.07954,403.487,"seed","C01762","Xanthosine","[M]","M+H",0.869378369389483,"grade1"
"155","M285T570",285.08069,570.045,"adductAnnotation","C01762","Xanthosine","[M]","M+H",0.856287850001176,"grade2"
"156","M284T567",284.09542,566.889,"seed","C00387","Guanosine","[M]","M+H",0.952735318596494,"grade1"
"157","M284T487",284.09579,486.98,"seed","C00387","Guanosine","[M]","M+H",0.958319279118341,"grade1"
"158","M283T640",283.05899,640.074,"metAnnotation","C11631","9-Riburonosylhypoxanthine","[M]","M+H",0.480373528130903,"grade2"
"159","M281T395",281.14618,394.564,"metAnnotation","C16594","7-Mercaptoheptanoylthreonine","[M]","M+NH4",0.777860987047289,"grade2"
"160","M278T893",278.0601,892.573,"adductAnnotation","C05345","beta-D-Fructose 6-phosphate","[M]","M+NH4",0.776669983333401,"grade1"
"161","M277T743",277.14431,742.989,"adductAnnotation","C00449","N6-(L-1,3-Dicarboxypropyl)-L-lysine","[M]","M+H",0.715575949998898,"grade2"
"162","M277T837",277.13687,837.009,"seed","C00449","N6-(L-1,3-Dicarboxypropyl)-L-lysine","[M]","M+H",0.936409344338064,"grade1"
"163","M277T849",277.10083,848.982,"seed","C05282","(5-L-Glutamyl)-L-glutamate","[M]","M+H",0.870404410716912,"grade1"
"164","M276T743",276.14196,742.9415,"metAnnotation","C00670","sn-Glycero-3-phosphocholine","[M]","M+NH4",0.839600777182281,"grade2"
"165","M276T769",276.11543,769.129,"metAnnotation","C18048","N-Succinyl-L-citrulline","[M]","M+H",0.736351424504047,"grade2"
"166","M275T754",275.04947,754.034,"adductAnnotation","C04359","1-Deoxy-D-altro-heptulose 7-phosphate","[M]","M+H",0.813788500000555,"grade2"
"167","M274T682",274.17239,682.287,"metAnnotation","C20279","(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine","[M]","M+H",0.616644486865353,"grade2"
"168","M273T73",273.1213,73.002,"adductAnnotation","C04874","2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","[M]","M+NH4",0.466260316667087,"grade1"
"169","M272T590",272.13052,589.581,"adductAnnotation","C05401","3-beta-D-Galactosyl-sn-glycerol","[M]","M+NH4",0.770409399999058,"grade2"
"170","M271T737",271.07744,737.478,"adductAnnotation","C01726","D-Lombricine","[M]","M+H",0.805765933334991,"grade2"
"171","M269T73",269.12519,72.713,"seed","C01801","Deoxyribose","[M]","2M+H",0.589054315566732,"grade1"
"172","M269T403",269.08598,403.2025,"metAnnotation","C00294","Inosine","[M]","M+H",0.862407510801068,"grade2"
"173","M267T604",267.13385,604.24,"metAnnotation","C20926","gamma-Glutamyltyramine","[M]","M+H",0.84370934018044,"grade2"
"174","M267T387",267.13048,386.799,"adductAnnotation","C20926","gamma-Glutamyltyramine","[M]","M+H",0.784390549999756,"grade2"
"175","M264T385",264.10431,385.381,"adductAnnotation","C05856","Thiamine aldehyde","[M]","M+H",0.927821766665706,"grade2"
"176","M262T771_2",262.14556,771.215,"adductAnnotation","C06657","Guanidinoproclavaminic acid","[M]","M+NH4",0.595205166666422,"grade2"
"177","M262T296",262.10003,296.468,"adductAnnotation","C00299","Uridine","[M]","M+NH4",0.770816033332494,"grade1"
"178","M261T864",261.03365,863.53,"seed","C05345","beta-D-Fructose 6-phosphate","[M]","M+H",0.920939314612476,"grade1"
"179","M261T892",261.03387,892.3,"seed","C05345","beta-D-Fructose 6-phosphate","[M]","M+H",0.88199901523828,"grade1"
"180","M259T365",259.10062,365.412,"seed","D02742",NA,"[M]","M+H",0.883314253195943,"grade1"
"181","M258T589",258.06086,589.2275,"metAnnotation","C00491","L-Cystine","[M]","M+NH4",0.760152221139979,"grade2"
"182","M257T507",257.14456,506.968,"metAnnotation","C04244","6-Lactoyl-5,6,7,8-tetrahydropterin","[M]","M+NH4",0.688755667221092,"grade2"
"183","M256T73_1",256.11415,73.256,"adductAnnotation","C04874","2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","[M]","M+H",0.479117666667759,"grade1"
"184","M256T476",256.09369,476.001,"metAnnotation","C01187","3-Deoxy-D-manno-octulosonate","[M]","M+NH4",0.406136981542581,"grade2"
"185","M253T740",253.08951,740.4645,"adductAnnotation","C05648","5-Hydroxy-N-formylkynurenine","[M]","M+H",0.536997116666536,"grade2"
"186","M249T741",249.10483,740.813,"metAnnotation","C05539","N-Acetyl-L-2-amino-6-oxopimelate","[M]","M+NH4",0.658691737830186,"grade2"
"187","M248T633",248.12086,632.937,"metAnnotation","C05570","Ergothioneine","[M]","M+NH4",0.504610498123437,"grade2"
"188","M248T638",248.05804,637.658,"adductAnnotation","C00117","D-Ribose 5-phosphate","[M]","M+NH4",0.613678349999778,"grade2"
"189","M247T783",247.09098,783.4955,"adductAnnotation","C04796","4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","[M]","M+NH4",0.744851216667219,"grade2"
"190","M247T838",247.09106,838.105,"metAnnotation","C04797","5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","[M]","M+NH4",0.558081292724897,"grade2"
"191","M246T798",246.15291,797.895,"metAnnotation","C05340","beta-Alanyl-L-arginine","[M]","M+H",0.84874218561157,"grade2"
"192","M245T768",245.11041,767.896,"metAnnotation","C00826","L-Arogenate","[M]","M+NH4",0.457683126813392,"grade2"
"193","M245T622",245.10474,621.886,"metAnnotation","C00826","L-Arogenate","[M]","M+NH4",0.609689822050603,"grade2"
"194","M245T296",245.0739,296.257,"adductAnnotation","C00299","Uridine","[M]","M+H",0.823188050000539,"grade1"
"195","M244T681",244.126,680.973,"metAnnotation","C00931","Porphobilinogen","[M]","M+NH4",0.829591342386665,"grade2"
