name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M234T11,234.13048,11.4745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T80,234.13074,80.3325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T38,234.13051,37.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T835,234.14163,835.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T907,234.14988,906.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T735,234.15,735.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T435,234.14977,434.8545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T456,234.14974,455.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T661,234.18415,661.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T507,234.43152,507.3065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T660,234.83689,659.7445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T710,234.91483,709.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T661,234.91454,660.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T74,235.0118,73.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T929,235.01731,929.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T394,235.02803,394.425,metAnnotation;metAnnotation;metAnnotation,C07480;C13747;C16850,M163T567;M163T567;M156T576,C16360;C16356;C00944,"3,7-Dimethyluric acid;1,7-Dimethyluric acid;3-Dehydroquinate",[M];[M];[M],M+K;M+K;M+2Na-H,C7H8N4O3;C7H8N4O3;C7H10O6,0.545811317891352;0.54508057995694;0.192810193188099,C16360_1;C16356_1;C00944_1,grade2;grade2;grade2
M235T709,235.03461,709.147,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C03871;C00624;C08538,M234T710;M234T710;M234T710,C03871;C00624;C08538,L-2-Amino-6-oxoheptanedioate;N-Acetyl-L-glutamate;Betalamic acid,[M+1];[M+1];[M+1],M+2Na-H;M+2Na-H;M+Na,C7H11NO5;C7H11NO5;C9H9NO5,0.745662385331974;0.745662385331974;0.632934797468136,C00624_4;C03871_2;C08538_3,grade2;grade2;grade2
M235T77,235.05067,77.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T743,235.05223,742.97,isotopeAnnotation,C00669,M233T743,C00669,gamma-L-Glutamyl-L-cysteine,[M+2],M+H-H2O,C8H14N2O5S,0.758636350329112,C00669_5,grade1
M235T684,235.05623,684.273,metAnnotation;metAnnotation,C00740;C00097,M147T696_2;M185T696,C01726;C17238,D-Lombricine;S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine,[M];[M],M+H-2H2O;M+H-2H2O,C6H15N4O6P;C11H14N2O4S,0.765524860623012;0.753392803568281,C01726_1;C17238_3,grade2;grade2
M235T624,235.07601,623.568,metAnnotation;metAnnotation,C16589;C16588,M211T572;M175T586,C16600;C16598,(-)-threo-Iso(homo)3-citrate;(R)-(Homo)3-citrate,[M];[M],M+H;M+H,C9H14O7;C9H14O7,0.761775363855283;0.680257523645721,C16600_3;C16598_3,grade3;grade3
M235T1002,235.08966,1002.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T66,235.08657,65.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T957,235.08967,957.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T763,235.08943,763.056,adductAnnotation;metAnnotation;metAnnotation;adductAnnotation,C21396;C04106;C16589;C16598,M257T763;M209T655;M211T572;M257T763,C21396;C04690;C16600;C16598,Ethylenediaminetriacetic acid;2-(Hydroxymethyl)-3-(acetamidomethylene)succinate;(-)-threo-Iso(homo)3-citrate;(R)-(Homo)3-citrate,[M];[M];[M];[M],M+H;M+NH4;M+H;M+H,C8H14N2O6;C8H11NO6;C9H14O7;C9H14O7,0.76393455000012;0.719766035003802;0.608524309198252;0.560396749999901,C21396_5;C04690_6;C16600_7;C16598_7,grade3;grade3;grade3;grade3
M235T1032,235.08963,1031.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T1074,235.08966,1074.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T57,235.12898,56.7015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T907,235.15156,906.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M235T507,235.1627,506.896,seed,"NA","NA",C00719,Betaine,[M],2M+H,C5H11NO2,0.850225788577022,C00719_1,grade1
M235T55,235.16608,54.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T661,235.91736,660.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T384,235.99336,384.0735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
